,alpha,d_1,s_1,d_2,s_2,pi_1,pi_2,type,nonneg
851,0.9149000000000094,0.04054241581908028,0.07921807335276987,0.037480194186664206,0.047467059327126124,0.004332428979495571,-0.0010520016172468373,multi,True
852,0.9148000000000094,0.040549327235670965,0.07924408790688378,0.037483013804878895,0.047451782709436535,0.004331943073230284,-0.0010623229766271898,multi,True
853,0.9147000000000094,0.040556240583590544,0.07927010885748483,0.03748583406659927,0.04743650235066964,0.00433145719514391,-0.0010726559120301325,multi,True
854,0.9146000000000094,0.04056315586350274,0.07929613620645015,0.03748865497199471,0.047421218249736136,0.0043309713452789715,-0.0010830004397897998,multi,True
855,0.9145000000000094,0.04057007307607506,0.07932216995567255,0.0374914765212336,0.04740593040553419,0.004330485523677041,-0.0010933565762750713,multi,True
856,0.9144000000000094,0.040576992221972454,0.07934821010703208,0.03749429871448545,0.047390638816972454,0.004329999730380594,-0.001103724337879185,multi,True
857,0.9143000000000094,0.04058391330186238,0.07937425666241647,0.03749712155191945,0.04737534348295449,0.004329513965431698,-0.0011141037410269958,multi,True
858,0.9142000000000094,0.04059083631641034,0.07940030962371013,0.03749994503370365,0.04736004440238326,0.004329028228872885,-0.0011244948021717,multi,True
859,0.9141000000000095,0.040597761266283755,0.0794263689928024,0.03750276916000802,0.0473447415741624,0.0043285425207461575,-0.001134897537797045,multi,True
860,0.9140000000000095,0.04060468815214938,0.07945243477157951,0.03750559393100068,0.04732943499719382,0.004328056841094073,-0.001145311964415344,multi,True
861,0.9139000000000095,0.04061161697467562,0.07947850696193036,0.03750841934685226,0.047314124670383366,0.004327571189958846,-0.0011557380985683903,multi,True
862,0.9138000000000095,0.040618547734529414,0.07950458556574365,0.03751124540773144,0.04729881059263129,0.004327085567382833,-0.001166175956828476,multi,True
863,0.9137000000000095,0.04062548043237783,0.07953067058490984,0.037514072113805995,0.047283492762836554,0.0043265999734086544,-0.0011766255557973766,multi,True
864,0.9136000000000095,0.04063241506889158,0.07955676202132013,0.037516899465247604,0.04726817117990513,0.004326114408078445,-0.0011870869121061193,multi,True
865,0.9135000000000095,0.04063935164473629,0.07958285987685919,0.03751972746222416,0.04725284584273927,0.004325628871435368,-0.0011975600424138288,multi,True
866,0.9134000000000095,0.04064629016058131,0.07960896415342253,0.03752255610490577,0.04723751675023779,0.004325143363521477,-0.0012080449634130578,multi,True
867,0.9133000000000095,0.04065323061709656,0.07963507485290329,0.037525385393461,0.04722218390130002,0.004324657884379524,-0.001218541691824667,multi,True
868,0.9132000000000096,0.04066017301495042,0.0796611919771919,0.03752821532806016,0.04720684729482848,0.004324172434052136,-0.0012290502443988828,multi,True
869,0.9131000000000096,0.040667117354812314,0.07968731552818087,0.03753104590887281,0.04719150692972327,0.004323687012581972,-0.0012395706379164685,multi,True
870,0.9130000000000096,0.04067406363735172,0.07971344550776431,0.03753387713606786,0.0471761628048834,0.00432320162001194,-0.0012501028891882442,multi,True
871,0.9129000000000096,0.040681011863238414,0.07973958191783612,0.03753670900981546,0.047160814919208156,0.0043227162563846,-0.0012606470150557441,multi,True
872,0.9128000000000096,0.04068796203314385,0.07976572476029552,0.03753954153028457,0.04714546327159344,0.004322230921742656,-0.0012712030323915697,multi,True
873,0.9127000000000096,0.04069491414773687,0.07979187403703107,0.03754237469764565,0.04713010786094326,0.0043217456161293005,-0.001281770958095176,multi,True
874,0.9126000000000096,0.040701868207688195,0.07981802974994165,0.037545208512067794,0.047114748686152993,0.004321260339587322,-0.001292350809099738,multi,True
875,0.9125000000000096,0.04070882421367039,0.07984419190092813,0.03754804297372199,0.04709938574611934,0.0043207750921590675,-0.0013029426023695966,multi,True
876,0.9124000000000096,0.04071578216635211,0.07987036049188012,0.037550878082776705,0.04708401903974308,0.004320289873888352,-0.0013135463548950357,multi,True
877,0.9123000000000097,0.04072274206640724,0.07989653552470087,0.03755371383940292,0.0470686485659204,0.004319804684817666,-0.0013241620837014757,multi,True
878,0.9122000000000097,0.040729703914506185,0.07992271700128883,0.03755655024376939,0.047053274323544815,0.004319319524990078,-0.0013347898058440688,multi,True
879,0.9121000000000097,0.040736667711320944,0.07994890492354105,0.03755938729604679,0.04703789631151593,0.004318834394448762,-0.0013454295384070373,multi,True
880,0.9120000000000097,0.04074363345752301,0.0799750992933561,0.0375622249964055,0.047022514528731234,0.004318349293236856,-0.0013560812985059841,multi,True
881,0.9119000000000097,0.04075060115378643,0.08000130011263817,0.037565063345014776,0.0470071289740829,0.004317864221397372,-0.0013667451032892217,multi,True
882,0.9118000000000097,0.040757570800782385,0.08002750738328301,0.037567902342045816,0.046991739646471624,0.0043173791789737365,-0.0013774209699326653,multi,True
883,0.9117000000000097,0.04076454239918422,0.08005372110719713,0.03757074198766668,0.046976346544785386,0.004316894166009076,-0.0013881089156473174,multi,True
884,0.9116000000000097,0.04077151594966424,0.08007994128627419,0.03757358228205028,0.04696094966792943,0.004316409182546907,-0.0013988089576697851,multi,True
885,0.9115000000000097,0.04077849145289858,0.08010616792243183,0.03757642322536483,0.046945549014784815,0.004315924228629723,-0.0014095211132768024,multi,True
886,0.9114000000000098,0.04078546890955886,0.08013240101756397,0.03757926481778091,0.04693014458425245,0.004315439304301548,-0.0014202453997672528,multi,True
887,0.9113000000000098,0.04079244832031882,0.08015864057357175,0.037582107059469495,0.04691473637522885,0.004314954409605868,-0.0014309818344738368,multi,True
888,0.9112000000000098,0.040799429685853796,0.08018488659236474,0.03758494995060147,0.04689932438660546,0.004314469544585687,-0.0014417304347631244,multi,True
889,0.9111000000000098,0.040806413006836476,0.0802111390758455,0.0375877934913452,0.04688390861727262,0.004313984709284903,-0.0014524912180311914,multi,True
890,0.9110000000000098,0.04081339828394289,0.08023739802591984,0.0375906376818728,0.04686848906612638,0.0043134999037468345,-0.0014632642017056692,multi,True
891,0.9109000000000098,0.040820385517848404,0.08026366344449772,0.03759348252235474,0.04685306573205729,0.004313015128014812,-0.0014740494032471187,multi,True
892,0.9108000000000098,0.04082737470922723,0.08028993533348185,0.037596328012960666,0.04683763861395751,0.004312530382132765,-0.0014848468401457583,multi,True
893,0.9107000000000098,0.0408343658587546,0.08031621369478253,0.03759917415386123,0.04682220771071704,0.004312045666144118,-0.0014956565299254392,multi,True
894,0.9106000000000098,0.04084135896710673,0.08034249853030337,0.037602020945228284,0.04680677302123348,0.004311560980092822,-0.0015064784901385707,multi,True
895,0.9105000000000099,0.04084835403496085,0.0803687898419637,0.03760486838723094,0.046791334544387275,0.00431107632402193,-0.0015173127383760728,multi,True
896,0.9104000000000099,0.04085535106299089,0.08039508763165967,0.0376077164800413,0.046775892279080765,0.004310591697976051,-0.0015281592922511654,multi,True
897,0.9103000000000099,0.04086235005187371,0.08042139190130655,0.037610565223829315,0.04676044622419812,0.004310107101998573,-0.0015390181694168873,multi,True
898,0.9102000000000099,0.040869351002287876,0.0804477026528201,0.037613414618765884,0.04674499637862741,0.004309622536133057,-0.0015498893875570364,multi,True
899,0.9101000000000099,0.04087635391490792,0.08047401988810285,0.037616264665021895,0.046729542741262765,0.0043091380004239045,-0.0015607729643836799,multi,True
900,0.9100000000000099,0.04088335879041206,0.08050034360907095,0.03761911536276842,0.046714085310991575,0.004308653494914735,-0.0015716689176449444,multi,True
